Dataset Reg ID,Dataset Name,Dataset Schema Version,Virtual Folder Name,Datasource URI,Attribute Name,Attribute Value Sequence,Attribute Category Value,Frequency_Count
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,amrt_mnths,1,,9500
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,amrt_type,1,FRM,9499
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,amrt_type,2,25,1
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,1,765,228
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,2,781,196
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,3,801,183
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,4,762,183
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,5,776,173
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,6,786,171
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,7,790,170
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,8,808,157
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,9,792,156
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,10,766,148
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,11,753,140
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,12,750,139
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,13,783,132
