Dataset Reg ID,Dataset Name,Dataset Description,Dataset Type,Cloud ID,Data Source System,Dataset Layer,Dataset Classification Type,Topic,Topic Category,Business Owner,Technical POC,S3 Bucket/AWS Service,Structured Data,Cloud Database Name,Table Name,File Format,Refresh Type,Refresh Frequency,Dataset Data Retention Period,Attribute Reg ID,Physical Attribute Name,Logical Attribute Name,Technical_metadata_description,Sequence Number,DataType,Length Precision,Scale,Format,Dataset Schema Version,Virtual Folder Name,Profiled Status,Reported Format,Datasource URI,Profiled Attribute Name,Reported Attribute Name,Sequence Field Index,Profiled Data Type,Reported Data Type,Value Count,Min Value,Max Value,Null Count,Density,Date Time Count,Numeric Count,String Count,Boolean Count,Cardinality,Selectivity,Field Level Tag(s),Resource Tag(s),Total Tag Count,Glossary Name,Business Definition,Business Segment,MISMO_Domain_Taxonomy,MISMO_Domain_Business_Concept,ELDM_PrimeBusiness_Concept,MISMO_Attribute_Name
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,geo_division,Geography,"Different geographic level participant demographic data such as national, Regional or state",1,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,dem_cat,Demographic category,"Categories such as race,ethinicity,sex or socialeconnomic status",2,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,dem_group,Demographic group,"Hispanic,Native,White, Others for population division analysis",3,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,time_period,Population comparison time period,Time period when the Census data is collected for analysis,4,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,program_office,Americorps prog office,"Different volunteer programs offered by Americorps such as MemberProg, NCCC,Seniors(All)",5,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,service_region,Volunteer program region,Various regions across USA,6,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,State,Volunteer program state,Various states across USA,7,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,census_pop_tot,Census Total Population ,Total census level population,8,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,count_tot,Total Count,AmeriCorps total count,9,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,count_dem_grp,Demographic Group Count,Demographic group level count,10,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,odds_ratio_estimate,Odds ratio estimate for pop comparison,Odds ratio estimate for pop comparison,11,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,representation,Representation category,"Overpresentation,UnderPresentation, No Observable Difference",12,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,mag_range_size,Magnitude range size,Value in numbers,13,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000111,Participant Demographic Data,This table provides comparison of demographic group prevalence in Orgs. Volunteer population to that of greater US population,EDL,BPO2233,Demographics,S3,External,US Census Bureau,Demographic Analysis,toolika@gmail.com,abc@gmail.com,s3-us-east-1,Structured,cloud_participant_demographic,ameri_part_demo_grp,PARQUET,Snapshot,Yearly,6 Years,,Significance,Results significance,Results Validity,14,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,cscore,Credit Score,Credit score at the time of mortgage origination,1,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
